source_type,condition,n,word_mean,word_std,stylometric_mean,stylometric_std,mean_word_count,mean_ttr
fresh_model_generation,baseline,15,0.6287718622518587,0.13555605535410836,0.5902280059604872,0.17931374771194517,163.66666666666666,0.6243960208537387
fresh_model_generation,one_shot,15,0.5834707463597864,0.1405847783495259,0.5295748560359412,0.18950150278530933,147.26666666666668,0.6863809793431891
fresh_model_generation,iterative_final,15,0.5882805688798555,0.1581841192407109,0.564373809195585,0.16898818160319132,146.86666666666667,0.660799913257161
fresh_model_generation,human_reference,15,0.5613148480772547,0.11218255355332853,0.42339645526137704,0.21897961120785822,69.0,0.7946110405389173
external_ai_text,original_external,15,0.4925936665976378,0.1284511852678589,0.39301840019146006,0.1873672697613233,527.3333333333334,0.5049276053990084
external_ai_text,one_shot,15,0.5363443026440604,0.10078489508700862,0.44254659183526346,0.1265369541323642,184.2,0.678263208480972
external_ai_text,iterative_final,15,0.5388707449268196,0.11958467485746814,0.5085161928250463,0.16041412491439125,187.2,0.6706751240608568
